Number;Property;Title;Value;Format;State;Id;
95;7708308010-Tenniscourts;Теннисные корты;https://data.mos.ru/apiproxy/opendata/7708308010-tennisnye-korty/meta.csv;csv;Активный;891;
96;7708308010-Aminigolfcourse;Площадки для мини-гольфа;https://data.mos.ru/apiproxy/opendata/7708308010-ploshchadki-dlya-mini-golfa/meta.csv;csv;Активный;892;
97;7701236617-publictoilets;Стационарные общественные туалеты;https://data.mos.ru/apiproxy/opendata/7701236617-statsionarnye-obshchestvennye-tualety/meta.csv;csv;Активный;842;
98;7710878000-Pollingstations;(Архив) Избирательные участки города Москвы;https://data.mos.ru/apiproxy/opendata/7710878000-izbiratelnye-uchastki-goroda-moskvy/meta.csv;csv;Архивный;961;
99;7708308010-openswimingpools;Бассейны плавательные открытые;https://data.mos.ru/apiproxy/opendata/7708308010-basseyny-plavatelnye-otkrytye/meta.csv;csv;Активный;894;
100;7704786030-Parkingmachines;Парковочные автоматы;https://data.mos.ru/apiproxy/opendata/7704786030-parkovochnye-avtomaty/meta.csv;csv;Активный;1421;
101;7704776297-Localpointsoflawandorder;Общественные пункты охраны порядка;https://data.mos.ru/apiproxy/opendata/7704776297-obshchestvennye-punkty-ohrany-poryadka/meta.csv;csv;Активный;1661;
102;7701107851-PersonaDirectionGlavkontrol;Справочник персоналий: Главное контрольное управление города Москвы;https://data.mos.ru/apiproxy/opendata/7701107851-spravochnik-personaliy-glavnoe-kontrolnoe-upravlenie-goroda-moskvy/meta.csv;csv;Активный;2127;
103;7708308010-Summerpopscene;Летние эстрады, сцены;https://data.mos.ru/apiproxy/opendata/7708308010-letnie-estrady-stseny/meta.csv;csv;Активный;906;
104;7708308010-BoatStation;Лодочные станции;https://data.mos.ru/apiproxy/opendata/7708308010-lodochnye-stantsii/meta.csv;csv;Активный;907;
105;7708308010-Horsefields;Поля конно-спортивные для конкура и выездки;https://data.mos.ru/apiproxy/opendata/7708308010-polya-konno-sportivnye-dlya-konkura-i-vyezdki/meta.csv;csv;Активный;902;
106;7708308010-Minizoo;Мини-зоопарки;https://data.mos.ru/apiproxy/opendata/7708308010-mini-zooparki/meta.csv;csv;Активный;910;
107;7702155262-exhibitions;Выставочные залы;https://data.mos.ru/apiproxy/opendata/7702155262-vystavochnye-zaly/meta.csv;csv;Активный;527;
108;7708308010-ropetowns;Веревочные городки;https://data.mos.ru/apiproxy/opendata/7708308010-verevochnye-gorodki/meta.csv;csv;Активный;911;
109;7708308010-Picnic;Места для пикника;https://data.mos.ru/apiproxy/opendata/7708308010-mesta-dlya-piknika/meta.csv;csv;Активный;912;
110;7708308010-enjoyautodromes;Автодромы аттракционные;https://data.mos.ru/apiproxy/opendata/7708308010-avtodromy-attraktsionnye/meta.csv;csv;Активный;914;
111;7704786030-bikeparkings;Велосипедные парковки;https://data.mos.ru/apiproxy/opendata/7704786030-veloparkovki/meta.csv;csv;Активный;916;
112;7708308010-Venuesforgorodki;Площадки для городошного спорта;https://data.mos.ru/apiproxy/opendata/7708308010-ploshchadki-dlya-gorodoshnogo-sporta/meta.csv;csv;Активный;917;
113;7708308010-waterrecreationareas;Зоны отдыха у воды;https://data.mos.ru/apiproxy/opendata/7708308010-zony-otdyha-u-vody/meta.csv;csv;Активный;919;
114;7705031674-Shareholdings;(Архив) Пакеты акций в собственности города Москвы;https://data.mos.ru/apiproxy/opendata/7705031674-pakety-aktsiy-v-sobstvennosti-goroda-moskvy/meta.csv;csv;Архивный;1112;
115;7710474791-emergencysituations;Учебно-консультационные пункты по гражданской обороне и чрезвычайным ситуациям;https://data.mos.ru/apiproxy/opendata/7710474791-uchebno-konsultatsionnye-punkty-po-grajdanskoy-oborone-i-chrezvychaynym-situatsiyam-goroda-moskvy/meta.csv;csv;Активный;1135;
116;7710168515-Tariffs2013;(Архив) Тарифы на коммунальные услуги для населения города Москвы на 2013 год;https://data.mos.ru/apiproxy/opendata/7710168515-tarify-na-kommunalnye-uslugi-dlya-naseleniya-goroda-moskvy-na-2013-god/meta.csv;csv;Архивный;1131;
117;7705031674-saleofshares;(Архив) Перечень объектов по продаже пакетов акций;https://data.mos.ru/apiproxy/opendata/7705031674-perechen-obektov-po-prodaje-paketov-aktsiy/meta.csv;csv;Архивный;1114;
118;7705031674-auctionshareholdings;(Архив) Итоги проведения торгов по продаже пакетов акций;https://data.mos.ru/apiproxy/opendata/7705031674-itogi-provedeniya-torgov-po-prodaje-paketov-aktsiy/meta.csv;csv;Архивный;1110;
119;7704253064-schools;(Архив) Государственные бюджетные образовательные учреждения, школы-интернаты;https://data.mos.ru/apiproxy/opendata/7704253064-gosudarstvennye-byudjetnye-obrazovatelnye-uchrejdeniya-shkoly-internaty/meta.csv;csv;Архивный;1045;
120;7710168515-Tariffs2007;(Архив) Тарифы на коммунальные услуги для населения города Москвы на 2007 год;https://data.mos.ru/apiproxy/opendata/7710168515-tarify-na-kommunalnye-uslugi-dlya-naseleniya-goroda-moskvy-na-2007-god/meta.csv;csv;Архивный;1125;
121;7710168515-Tariffs2006;(Архив) Тарифы на коммунальные услуги для населения города Москвы на 2006 год;https://data.mos.ru/apiproxy/opendata/7710168515-tarify-na-kommunalnye-uslugi-dlya-naseleniya-goroda-moskvy-na-2006-god/meta.csv;csv;Архивный;1124;
122;7710168515-Tariffs2008;(Архив) Тарифы на коммунальные услуги для населения города Москвы на 2008 год;https://data.mos.ru/apiproxy/opendata/7710168515-tarify-na-kommunalnye-uslugi-dlya-naseleniya-goroda-moskvy-na-2008-god/meta.csv;csv;Архивный;1126;
123;7710474791-CivilDefenseandEmergencies;Учебно-методические центры по гражданской обороне и чрезвычайным ситуациям;https://data.mos.ru/apiproxy/opendata/7710474791-uchebno-metodicheskie-tsentry-po-grajdanskoy-oborone-i-chrezvychaynym-situatsiyam/meta.csv;csv;Активный;1133;
124;7710168515-Tariffs2011;(Архив) Тарифы на коммунальные услуги для населения города Москвы на 2011 год;https://data.mos.ru/apiproxy/opendata/7710168515-tarify-na-kommunalnye-uslugi-dlya-naseleniya-goroda-moskvy-na-2011-god/meta.csv;csv;Архивный;1129;
125;7704776811-AdvertisingConstructions;Рекламные конструкции на территории города Москвы;https://data.mos.ru/apiproxy/opendata/7704776811-reklamnye-konstruktsii-na-territorii-goroda-moskvy/meta.csv;csv;Активный;1122;
126;7710168515-Tariffs2010;(Архив) Тарифы на коммунальные услуги для населения города Москвы на 2010 год;https://data.mos.ru/apiproxy/opendata/7710168515-tarify-na-kommunalnye-uslugi-dlya-naseleniya-goroda-moskvy-na-2010-god/meta.csv;csv;Архивный;1128;
127;7710168515-Tariffs2012;(Архив) Тарифы на коммунальные услуги для населения города Москвы на 2012 год;https://data.mos.ru/apiproxy/opendata/7710168515-tarify-na-kommunalnye-uslugi-dlya-naseleniya-goroda-moskvy-na-2012-god/meta.csv;csv;Архивный;1130;
128;7704253064-SocialAssistanceHomeless;Учреждения социальной помощи для бездомных граждан;https://data.mos.ru/apiproxy/opendata/7704253064-uchrejdeniya-sotsialnoy-pomoshchi-dlya-bezdomnyh-grajdan/meta.csv;csv;Активный;1044;
129;7710152113-totalrevenuesnumber59;(Архив) Прогнозируемый общий объем доходов бюджета города Москвы на 2013 года и плановый период 2014 и 2015 годов в соответствии с законом о бюджете города Москвы от 21.11.2012 г. № 59;https://data.mos.ru/apiproxy/opendata/7710152113-prognoziruemiy-obshchiy-obem-dohodov-byudjeta-goroda-moskvy-na-2013-goda-i-planoviy-period-2014-i-2015-godov-v-sootvetstvii-s-zakonom-o-byudjete-goroda-moskvy-ot-21112012-g-59/meta.csv;csv;Архивный;1201;
